Year,Height
1960,69.09455426832837
1964,69.11221473132744
1968,69.43736578382119
1972,69.66856731995233
1976,69.88967618231896
1980,70.17878953249603
1984,70.08673553158427
1988,70.33544311931838
1992,70.65739736563806
1996,70.67673699165012
2000,70.95443161137852
2004,70.99337391239466
2008,71.16409333945853
2012,71.30959013299089
2016,71.23579028097025
