Country,ISO,Sex,Year of birth,Mean height (cm),Mean height lower 95% uncertainty interval (cm),Mean height upper 95% uncertainty interval (cm),Mean height (inches),Mean height lower 95% uncertainty interval (inches),Mean height upper 95% uncertainty interval (inches),Olympic Year
Denmark,DNK,Men,1941,176.3215785,175.96299109999998,176.68484750000002,69.41794429133857,69.2767681496063,69.56096358267718,1960
Djibouti,DJI,Men,1941,166.7195269,161.81379619999998,171.7292646,65.63760901574803,63.70621897637795,67.60994669291338,1960
Dominica,DMA,Men,1941,172.02118430000002,169.9276242,174.0241459,67.72487570866143,66.9006394488189,68.51344326771654,1960
Dominican Republic,DOM,Men,1941,167.2922252,165.2066829,169.37352719999998,65.86308078740157,65.04200114173229,66.68249102362203,1960
DR Congo,COD,Men,1941,167.17461880000002,164.3999608,169.8895522,65.81677905511812,64.72439401574803,66.88565047244094,1960
Ecuador,ECU,Men,1941,161.8193374,159.9911386,163.6404583,63.7084005511811,62.988637244094484,64.42537728346457,1960
Egypt,EGY,Men,1941,167.6982006,166.84066430000001,168.5624675,66.02291362204724,65.68530090551181,66.36317618110236,1960
El Salvador,SLV,Men,1941,166.1014352,163.3937355,168.8571466,65.39426582677166,64.32824232283464,66.47919157480315,1960
Equatorial Guinea,GNQ,Men,1941,167.29298459999998,162.0061464,172.6433278,65.86337976377952,63.781947401574804,67.96981409448819,1960
Eritrea,ERI,Men,1941,168.3457093,167.0768414,169.6315834,66.27783830708661,65.77828401574803,66.78408795275591,1960
Estonia,EST,Men,1941,175.9539353,175.2974809,176.5903186,69.27320287401575,69.01475625984253,69.52374748031495,1960
Ethiopia,ETH,Men,1941,166.7668365,165.1138216,168.4267075,65.6562348425197,65.00544157480314,66.30972736220473,1960
Fiji,FJI,Men,1941,171.7707033,170.63735690000001,172.869016,67.62626114173229,67.18006177165354,68.05866771653542,1960
Finland,FIN,Men,1941,175.0940841,174.60318909999998,175.6044395,68.93467877952756,68.74141303149605,69.1356061023622,1960
France,FRA,Men,1941,172.4999654,171.6994841,173.2937895,67.91337220472441,67.59822208661417,68.22590137795275,1960
French Polynesia,PYF,Men,1941,172.3119389,170.4744489,174.1040563,67.83934602362204,67.11592476377953,68.54490405511811,1960
Gabon,GAB,Men,1941,167.8619191,164.9797049,170.71102209999998,66.08736972440944,64.95263972440945,67.20906381889763,1960
Gambia,GMB,Men,1941,165.5718197,163.45467040000003,167.7068775,65.18575578740158,64.35223244094489,66.02632972440945,1960
Georgia,GEO,Men,1941,172.2019352,170.3590639,174.0984112,67.79603748031496,67.07049759842519,68.54268157480314,1960
Germany,DEU,Men,1941,174.6816418,174.180992,175.1933984,68.77229992125984,68.5751937007874,68.9737788976378,1960
Ghana,GHA,Men,1941,166.84272180000002,165.7247817,167.9563217,65.6861109448819,65.2459770472441,66.1245361023622,1960
Greece,GRC,Men,1941,170.2183497,168.7691126,171.679543,67.01509830708662,66.44453251968504,67.59037125984251,1960
Greenland,GRL,Men,1941,165.40786359999998,163.72025390000002,167.09468869999998,65.12120614173227,64.45679287401575,65.78531051181102,1960
Grenada,GRD,Men,1941,172.1939794,169.9405068,174.52979230000003,67.79290527559054,66.90571133858268,68.71251665354332,1960
Guatemala,GTM,Men,1941,161.72091269999999,159.4861909,163.9207241,63.66965066929133,62.78983893700787,64.5357181496063,1960
Guinea,GIN,Men,1941,168.5618216,165.94208799999998,171.15258930000002,66.36292188976378,65.3315307086614,67.38290917322836,1960
Guinea Bissau,GNB,Men,1941,167.8658122,162.9539143,172.7302219,66.08890244094488,64.15508437007874,68.00402437007874,1960
Guyana,GUY,Men,1941,167.5081864,165.1235726,169.91116509999998,65.94810488188976,65.00928055118109,66.89415948818896,1960
Haiti,HTI,Men,1941,169.30308730000002,164.3526076,174.26539630000002,66.65475877952757,64.70575102362204,68.60842374015749,1960
Honduras,HND,Men,1941,166.1421956,163.5137558,168.8151757,65.41031322834645,64.37549440944882,66.4626675984252,1960
Hungary,HUN,Men,1941,172.4347218,171.4723397,173.4328586,67.8876857480315,67.50879515748031,68.28065299212598,1960
Iceland,ISL,Men,1941,179.1286365,178.0029878,180.19810230000002,70.52308523622047,70.07991645669291,70.94413476377953,1960
India,IND,Men,1941,163.0410584,162.47261909999997,163.5913251,64.18939307086615,63.96559807086613,64.40603350393701,1960
Indonesia,IDN,Men,1941,159.69536000000002,158.9182408,160.4928858,62.87218897637796,62.56623653543307,63.18617551181103,1960
Iran,IRN,Men,1941,167.20615880000003,166.6323301,167.793714,65.82919637795277,65.60327956692913,66.06051732283464,1960
Iraq,IRQ,Men,1941,167.45884809999998,162.5199583,172.2604362,65.9286803543307,63.98423555118111,67.81906937007874,1960
Ireland,IRL,Men,1941,173.4438648,172.5430371,174.33933069999998,68.28498614173228,67.93032956692913,68.63753177165353,1960
Israel,ISR,Men,1941,170.1851875,169.26697919999998,171.0706041,67.00204232283465,66.64054299212597,67.35063153543307,1960
Italy,ITA,Men,1941,169.9761602,169.4625615,170.49437509999998,66.91974811023623,66.7175438976378,67.12376972440944,1960
Jamaica,JAM,Men,1941,170.98984860000002,169.7288598,172.2531272,67.31883803149607,66.8223857480315,67.81619181102361,1960
Japan,JPN,Men,1941,165.5181647,165.16228049999998,165.87279080000002,65.16463177165355,65.02451988188976,65.3042483464567,1960
Jordan,JOR,Men,1941,167.8824448,166.7655108,168.99522040000002,66.09545070866142,65.65571291338583,66.53355133858268,1960
Kazakhstan,KAZ,Men,1941,168.7111477,163.5848834,173.7459823,66.42171169291339,64.4034974015748,68.40393003937008,1960
Kenya,KEN,Men,1941,170.66322390000002,167.8980355,173.3865988,67.19024562992126,66.10158877952756,68.26244047244094,1960
Kiribati,KIR,Men,1941,167.7254081,166.4444158,168.9979198,66.03362523622047,65.52929755905512,66.53461409448819,1960
Kuwait,KWT,Men,1941,168.6247091,167.5545209,169.73368,66.38768074803149,65.96634681102363,66.82428346456693,1960
Kyrgyzstan,KGZ,Men,1941,167.1741227,164.9257379,169.392236,65.81658374015748,64.93139287401574,66.68985669291338,1960
Lao PDR,LAO,Men,1941,158.28251980000002,156.4930976,160.061197,62.31595267716536,61.611455748031496,63.01621929133858,1960
Latvia,LVA,Men,1941,174.01944790000002,172.3739415,175.6668886,68.51159366141732,67.86375649606299,69.16019236220473,1960
Lebanon,LBN,Men,1941,169.099425,167.4279077,170.75232309999998,66.57457677165354,65.91649909448819,67.22532405511811,1960
Lesotho,LSO,Men,1941,165.1062539,163.4182639,166.8362506,65.00246216535433,64.33789917322835,65.68356322834646,1960
Liberia,LBR,Men,1941,162.8175419,160.9183849,164.7581388,64.1013944488189,63.35369484251969,64.86540897637795,1960
Libya,LBY,Men,1941,169.4894129,167.55059609999998,171.3774299,66.72811531496062,65.96480161417323,67.47142909448819,1960
Lithuania,LTU,Men,1941,173.64545880000003,172.81247480000002,174.4711888,68.36435385826773,68.0364074015748,68.68944440944881,1960
Luxembourg,LUX,Men,1941,174.14724119999997,172.34880959999998,176.0076203,68.56190598425195,67.85386204724409,69.2943387007874,1960
Macedonia (TFYR),MKD,Men,1941,172.88051409999997,167.78923419999998,177.6952441,68.06319452755905,66.05875362204723,69.95875751968504,1960
Madagascar,MDG,Men,1941,164.3418523,161.6577711,166.9689884,64.70151665354331,63.64479177165354,65.73582220472441,1960
Malawi,MWI,Men,1941,164.5182435,162.7033925,166.33360530000002,64.77096200787402,64.05645374015748,65.48567137795276,1960
Malaysia,MYS,Men,1941,163.4937335,162.7899044,164.2105001,64.36761161417323,64.0905135433071,64.64980318897638,1960
Maldives,MDV,Men,1941,160.0942244,158.1375424,162.0323203,63.02922220472441,62.25887496062992,63.79225208661418,1960
Mali,MLI,Men,1941,170.06091990000002,167.26465080000003,172.83979140000002,66.95311807086615,65.85222472440945,68.04716196850394,1960
Malta,MLT,Men,1941,166.25566840000002,164.18416409999998,168.3113749,65.45498755905513,64.63943468503936,66.26432082677165,1960
Marshall Islands,MHL,Men,1941,165.3279374,163.4792368,167.1357633,65.08973913385826,64.3619042519685,65.80148161417323,1960
Mauritania,MRT,Men,1941,167.3229757,164.5793665,170.1093563,65.87518728346457,64.79502618110236,66.97218751968504,1960
Mauritius,MUS,Men,1941,165.5024937,164.6362868,166.3354,65.15846208661418,64.8174357480315,65.4863779527559,1960
Mexico,MEX,Men,1941,164.4822477,163.8577559,165.08946469999998,64.75679043307086,64.51092751968504,64.99585224409448,1960
Micronesia (Federated States of),FSM,Men,1941,167.17581850000002,165.6898973,168.6440229,65.81725137795276,65.23224303149607,66.39528460629921,1960
Moldova,MDA,Men,1941,169.2845541,167.45973180000001,171.20487340000003,66.64746224409448,65.92902826771655,67.40349346456694,1960
Mongolia,MNG,Men,1941,165.2657209,163.9810927,166.5507084,65.06524444881889,64.55948531496063,65.57114503937008,1960
Montenegro,MNE,Men,1941,172.8405183,167.8528685,177.82700219999998,68.04744814960631,66.08380649606299,70.01063078740157,1960
Morocco,MAR,Men,1941,167.393237,162.5807051,172.1115583,65.90284921259843,64.00815161417323,67.76045602362205,1960
Mozambique,MOZ,Men,1941,164.24416609999997,162.43000469999998,166.0609129,64.66305751968503,63.94882074803149,65.37831216535433,1960
Myanmar,MMR,Men,1941,162.26635819999998,160.9374132,163.5772119,63.884392992125974,63.3611862992126,64.40047712598425,1960
Namibia,NAM,Men,1941,168.7483772,167.2221108,170.3594725,66.43636897637795,65.83547669291339,67.07065846456693,1960
Nauru,NRU,Men,1941,166.6937046,165.8646202,167.5084388,65.6274427559055,65.30103157480315,65.9482042519685,1960
Nepal,NPL,Men,1941,159.9346565,158.73144019999998,161.13858249999998,62.96640019685039,62.492692992125974,63.440386811023615,1960
Netherlands,NLD,Men,1941,177.671976,176.92000819999998,178.4190388,69.9495968503937,69.65354653543307,70.24371606299214,1960
New Zealand,NZL,Men,1941,174.3766379,173.7179256,175.03431640000002,68.65221964566929,68.39288409448818,68.91114818897638,1960
Nicaragua,NIC,Men,1941,165.2502252,162.5353155,167.95493390000001,65.05914377952756,63.990281692913385,66.12398972440945,1960
Niger,NER,Men,1941,169.4713591,167.6436485,171.3584935,66.72100751968505,66.00143641732284,67.46397381889764,1960
Nigeria,NGA,Men,1941,165.89429819999998,164.7239325,167.04711569999998,65.31271582677165,64.85194192913386,65.76658098425196,1960
Niue,NIU,Men,1941,171.2839508,169.4663716,173.06075019999997,67.43462629921261,66.71904393700787,68.13415362204724,1960
North Korea,PRK,Men,1941,165.47620990000001,159.96271289999999,171.0019566,65.14811413385827,62.97744602362204,67.32360496062992,1960
Norway,NOR,Men,1941,177.24894319999999,176.7957267,177.7027193,69.783048503937,69.60461681102362,69.96170051181103,1960
Occupied Palestinian Territory,PSE,Men,1941,168.9724935,167.7476437,170.18566719999998,66.52460374015749,66.04237940944881,67.00223118110236,1960
Oman,OMN,Men,1941,163.40283,161.6248132,165.15879130000002,64.33182283464566,63.631816220472444,65.02314618110236,1960
Pakistan,PAK,Men,1941,166.8516734,165.6934101,167.98018249999998,65.6896351968504,65.23362602362205,66.13393011811023,1960
Palau,PLW,Men,1941,166.66236669999998,164.6910885,168.6272825,65.61510499999999,64.83901122047244,66.3886938976378,1960
Panama,PAN,Men,1941,165.0180494,162.5219745,167.5920165,64.96773598425196,63.98502933070866,65.98110885826772,1960
Papua New Guinea,PNG,Men,1941,161.50823019999999,159.89361540000002,163.1477827,63.5859174015748,62.950242283464576,64.23141051181102,1960
Paraguay,PRY,Men,1941,168.2728155,162.9662851,173.4091627,66.24913996062992,64.15995476377952,68.2713238976378,1960
Peru,PER,Men,1941,161.3073044,160.31720869999998,162.29994119999998,63.50681275590551,63.11701129921259,63.89761464566928,1960
Philippines,PHL,Men,1941,160.10291709999998,157.7010412,162.4634669,63.03264452755905,62.087024094488186,63.96199484251968,1960
Poland,POL,Men,1941,171.1731357,170.5547496,171.77826930000003,67.3909983070866,67.14753921259843,67.62923988188977,1960
Portugal,PRT,Men,1941,166.1067665,165.3447297,166.8640693,65.39636476377953,65.09635027559055,65.69451547244095,1960
Puerto Rico,PRI,Men,1941,168.9281378,167.6005842,170.2836101,66.50714086614173,65.98448196850393,67.04079137795276,1960
Qatar,QAT,Men,1941,167.6518381,166.2426533,169.12794,66.00466066929134,65.44986350393701,66.58580314960629,1960
Romania,ROU,Men,1941,170.5412664,168.1344639,172.99574199999998,67.14223086614173,66.19467082677164,68.10855984251968,1960
Russian Federation,RUS,Men,1941,171.32886430000002,170.8361774,171.8248004,67.45230877952757,67.25833755905512,67.64755921259842,1960
Rwanda,RWA,Men,1941,165.8628591,164.30484209999997,167.49796619999998,65.30033822834646,64.68694570866141,65.94408118110235,1960
Saint Kitts and Nevis,KNA,Men,1941,168.31581819999997,165.5923803,171.16230369999997,66.2660701574803,65.19385051181102,67.38673374015747,1960
Saint Lucia,LCA,Men,1941,170.0931044,167.62528700000001,172.6237696,66.96578913385827,65.99420748031497,67.96211401574803,1960
Saint Vincent and the Grenadines,VCT,Men,1941,169.3943079,164.3734249,174.36255469999998,66.6906724015748,64.71394681102362,68.64667507874015,1960
Samoa,WSM,Men,1941,169.8938967,169.0764001,170.7329051,66.88736090551181,66.5655118503937,67.21767917322835,1960
Sao Tome and Principe,STP,Men,1941,167.3182853,165.7382763,168.8996544,65.87334066929134,65.25128988188976,66.49592692913386,1960
Saudi Arabia,SAU,Men,1941,165.8721493,165.0062885,166.76586269999999,65.30399578740158,64.96310570866142,65.6558514566929,1960
Senegal,SEN,Men,1941,171.736262,169.61030319999998,173.83721640000002,67.61270157480315,66.77570992125983,68.43984897637796,1960
Serbia,SRB,Men,1941,173.94384440000002,173.1037354,174.78821200000002,68.48182850393701,68.15107692913386,68.81425669291339,1960
Seychelles,SYC,Men,1941,170.2544635,169.3008044,171.21512019999997,67.02931633858269,66.65386,67.40752763779527,1960
Sierra Leone,SLE,Men,1941,165.594187,163.9443416,167.2341735,65.19456181102362,64.54501637795275,65.84022578740158,1960
Singapore,SGP,Men,1941,166.4120332,165.6324627,167.2260141,65.516548503937,65.20963098425196,65.83701342519684,1960
Slovakia,SVK,Men,1941,174.4215264,173.52546130000002,175.30714,68.66989228346456,68.3171107480315,69.01855905511812,1960
Slovenia,SVN,Men,1941,173.5247632,169.8121991,177.34837219999997,68.31683590551181,66.85519649606299,69.82219377952755,1960
Solomon Islands,SLB,Men,1941,164.426367,162.6520526,166.1939481,64.73479015748032,64.03624118110235,65.43068822834645,1960
Somalia,SOM,Men,1941,166.67703459999998,161.88080209999998,171.739416,65.62087976377953,63.732599251968495,67.61394330708661,1960
South Africa,ZAF,Men,1941,167.7901825,167.0290241,168.5506876,66.05912696850393,65.7594583070866,66.35853842519685,1960
South Korea,KOR,Men,1941,166.6384366,166.1013241,167.1748897,65.60568370078741,65.39422208661418,65.81688570866142,1960
Spain,ESP,Men,1941,168.32237560000002,167.6326771,168.9780331,66.26865181102363,65.99711696850393,66.52678468503937,1960
Sri Lanka,LKA,Men,1941,162.1677611,160.4773388,163.84815580000003,63.845575236220476,63.180054645669294,64.50714795275591,1960
Sudan,SDN,Men,1941,166.7071678,161.57425759999998,171.6544966,65.63274322834646,63.61191244094487,67.58051047244093,1960
Suriname,SUR,Men,1941,169.39298440000002,164.3461757,174.3366471,66.69015133858268,64.70321877952756,68.63647523622046,1960
Swaziland,SWZ,Men,1941,167.2257975,165.4237635,169.04264919999997,65.8369281496063,65.12746594488189,66.55222409448818,1960
Sweden,SWE,Men,1941,177.1441639,176.67252380000002,177.60690300000002,69.74179681102362,69.55611173228347,69.92397755905512,1960
Switzerland,CHE,Men,1941,173.4857719,172.655139,174.2988871,68.301485,67.97446417322834,68.62160909448819,1960
Syrian Arab Republic,SYR,Men,1941,167.4583256,162.5664257,172.3124105,65.92847464566928,64.0025298031496,67.83953169291338,1960
Taiwan,TWN,Men,1941,166.0361336,165.22938059999998,166.8252199,65.36855653543307,65.05093724409448,65.67922043307087,1960
Tajikistan,TJK,Men,1941,168.7828754,163.5512846,173.85633969999998,66.44995094488189,64.39026952755906,68.44737783464566,1960
Tanzania,TZA,Men,1941,166.3591366,165.02236630000002,167.7253746,65.49572307086613,64.9694355511811,66.03361204724409,1960
Thailand,THA,Men,1941,162.7990356,162.05926730000002,163.5311801,64.09410850393701,63.802861141732286,64.38235437007874,1960
Timor-Leste,TLS,Men,1941,159.06704299999998,157.4103701,160.7757747,62.62482007874015,61.9725866535433,63.29754909448819,1960
Togo,TGO,Men,1941,167.4527927,165.5490371,169.4257454,65.92629633858267,65.17678625984252,66.70304937007874,1960
Tokelau,TKL,Men,1941,170.49655,168.5600008,172.4029727,67.12462598425198,66.36220503937008,67.8751861023622,1960
Tonga,TON,Men,1941,174.0354381,172.6086815,175.4337489,68.51788901574803,67.95617381889764,69.06840507874016,1960
Trinidad and Tobago,TTO,Men,1941,171.43947260000002,169.7543337,173.1034198,67.49585535433071,66.83241484251968,68.15095267716536,1960
Tunisia,TUN,Men,1941,168.93141699999998,167.89705049999998,169.9865675,66.50843188976377,66.10120098425196,66.92384547244095,1960
Turkey,TUR,Men,1941,168.77219530000002,168.1674496,169.3658256,66.44574618110236,66.20765732283465,66.67945889763779,1960
Turkmenistan,TKM,Men,1941,169.20783630000003,167.0555758,171.43426780000001,66.61725838582679,65.76991173228348,67.49380622047245,1960
Tuvalu,TUV,Men,1941,167.7773919,165.3212311,170.2086062,66.0540912992126,65.08709885826772,67.01126228346456,1960
Uganda,UGA,Men,1941,168.2371302,166.69020659999998,169.7901763,66.23509062992126,65.62606559055118,66.8465261023622,1960
Ukraine,UKR,Men,1941,172.65828019999998,167.57333630000002,177.79635009999998,67.97570086614172,65.97375444881891,69.99856303149606,1960
United Arab Emirates,ARE,Men,1941,167.4733344,162.519721,172.3819368,65.93438362204725,63.984142125984256,67.8669042519685,1960
United Kingdom,GBR,Men,1941,174.2445857,173.8465966,174.6508247,68.60023059055118,68.44354196850394,68.7601672047244,1960
United States of America,USA,Men,1941,176.4906101,175.9983694,176.9867892,69.48449216535433,69.29069661417323,69.67983826771653,1960
Uruguay,URY,Men,1941,170.3249071,168.86808,171.7772772,67.05705003937007,66.48349606299212,67.62884929133858,1960
Uzbekistan,UZB,Men,1941,168.9984504,167.388543,170.5264781,66.53482299212598,65.90100118110236,67.1364087007874,1960
Vanuatu,VUT,Men,1941,166.0080055,164.3100899,167.7740095,65.35748248031496,64.68901177165354,66.0527596456693,1960
Venezuela,VEN,Men,1941,166.89246819999997,165.3234411,168.52182439999999,65.70569614173228,65.08796893700787,66.34717496062991,1960
Viet Nam,VNM,Men,1941,160.9309043,160.29561759999999,161.584542,63.35862374015748,63.10851086614173,63.615961417322836,1960
Yemen,YEM,Men,1941,163.0358821,161.29928610000002,164.79875900000002,64.18735515748031,63.5036559448819,64.88140118110236,1960
Zambia,ZMB,Men,1941,167.80782680000002,165.0936476,170.5976949,66.0660735433071,64.99749905511811,67.16444681102362,1960
Zimbabwe,ZWE,Men,1941,169.0185853,167.2259886,170.79420119999997,66.54275011811023,65.83700338582676,67.24181149606298,1960
Afghanistan,AFG,Men,1945,163.78105280000003,158.6082455,169.0857542,64.4807294488189,62.44419114173228,66.56919456692913,1964
Albania,ALB,Men,1945,170.4244876,168.2563759,172.59566840000002,67.09625496062992,66.24266767716536,67.95105055118111,1964
Algeria,DZA,Men,1945,170.4433256,169.1578176,171.7515203,67.103671496063,66.59756598425196,67.61870877952757,1964
American Samoa,ASM,Men,1945,171.98451790000001,171.12178730000002,172.8457762,67.71044011811024,67.37078240157481,68.04951818897638,1964
Andorra,AND,Men,1945,170.07052099999999,165.0484093,175.06666030000002,66.95689803149605,64.9796887007874,68.92388200787403,1964
Angola,AGO,Men,1945,167.8529608,162.5580709,173.1404779,66.08384283464567,63.99924051181102,68.16554248031497,1964
Antigua and Barbuda,ATG,Men,1945,169.873571,164.84466,174.93546709999998,66.87935866141733,64.89947244094488,68.87223114173227,1964
Argentina,ARG,Men,1945,170.22457759999998,168.67374880000003,171.79535080000002,67.01755023622046,66.40698771653544,67.63596488188978,1964
Armenia,ARM,Men,1945,169.7496481,167.4953377,171.93244119999997,66.83057011811023,65.94304633858268,67.68993748031495,1964
Australia,AUS,Men,1945,175.3708461,174.8543993,175.88631669999998,69.04364019685039,68.84031468503937,69.24658137795275,1964
Austria,AUT,Men,1945,175.0871794,173.5769955,176.5606238,68.93196039370079,68.33739980314961,69.51205661417323,1964
Azerbaijan,AZE,Men,1945,170.5638486,168.96725130000002,172.1113901,67.15112149606298,66.52253988188977,67.76038980314961,1964
Bahamas,BHS,Men,1945,169.8980727,164.91928810000002,174.8428378,66.889005,64.92885358267718,68.83576291338584,1964
Bahrain,BHR,Men,1945,165.7509255,164.1342072,167.4022246,65.25626988188976,64.61976661417323,65.90638763779528,1964
Bangladesh,BGD,Men,1945,162.78316830000003,161.82125969999998,163.7626015,64.08786153543308,63.70915736220472,64.4734651574803,1964
Barbados,BRB,Men,1945,172.8514186,171.3299084,174.41877040000003,68.05173960629921,67.45271984251968,68.6688072440945,1964
Belarus,BLR,Men,1945,173.3789658,168.3465904,178.5498221,68.2594353543307,66.27818519685039,70.2952055511811,1964
Belgium,BEL,Men,1945,173.6099075,172.9579626,174.2420076,68.35035728346456,68.09368606299212,68.59921559055118,1964
