Olympic Year,Mean height (inches)
1960,64.08610228474403
1964,64.28408087244091
1968,64.48029319803146
1972,64.66704148877949
1976,64.83240818041332
1980,64.97863768188978
1984,65.10082045098424
1988,65.18098762854333
1992,65.23466187352365
1996,65.26767985295274
2000,65.26869882716535
2004,65.249715747441
2008,65.21297456850385
2012,65.16331188838585
2016,65.11260675275595
