Country,ISO,Sex,Year of birth,Mean height (cm),Mean height lower 95% uncertainty interval (cm),Mean height upper 95% uncertainty interval (cm),Olympic Year,Mean height (inches),Mean height lower 95% uncertainty interval (inches),Mean height upper 95% uncertainty interval (inches)
Czech Republic,CZE,Men,1940,174.14409519999998,173.4240083,174.867301,1960,68.56066740157479,68.27716862204724,68.84539409448819
Denmark,DNK,Men,1940,176.2092946,175.840645,176.5856618,1960,69.37373803149606,69.22860039370079,69.52191409448818
Djibouti,DJI,Men,1940,166.6012363,161.6920374,171.63776330000002,1960,65.59103791338583,63.65828244094488,67.57392255905512
Dominica,DMA,Men,1940,171.890077,169.7694147,173.9204959,1960,67.67325866141732,66.83835224409448,68.47263618110236
Dominican Republic,DOM,Men,1940,167.16165669999998,165.0430483,169.27138689999998,1960,65.81167586614173,64.97757807086614,66.64227830708661
DR Congo,COD,Men,1940,167.02906230000002,164.25538909999997,169.736257,1960,65.7594733464567,64.66747602362203,66.82529803149606
Ecuador,ECU,Men,1940,161.6740045,159.8297701,163.5117918,1960,63.651182874015745,62.92510633858267,64.37472118110236
Egypt,EGY,Men,1940,167.5324228,166.67281640000002,168.4004647,1960,65.95764677165354,65.61921905511812,66.29939555118109
El Salvador,SLV,Men,1940,165.99656399999998,163.2760419,168.7419571,1960,65.3529779527559,64.28190625984251,66.43384137795276
Equatorial Guinea,GNQ,Men,1940,167.1487031,161.89371619999997,172.4845859,1960,65.80657602362204,63.73768354330708,67.90731728346456
Eritrea,ERI,Men,1940,168.25676830000003,166.9633824,169.5737092,1960,66.24282216535434,65.73361511811024,66.76130283464566
Estonia,EST,Men,1940,175.7858805,175.13115280000002,176.4305167,1960,69.20703956692913,68.94927275590553,69.4608333464567
Ethiopia,ETH,Men,1940,166.63889719999997,164.9681856,168.3265459,1960,65.60586503937007,64.94810456692913,66.27029366141733
Fiji,FJI,Men,1940,171.681918,170.5327894,172.8061062,1960,67.59130629921259,67.13889346456693,68.03390007874015
Finland,FIN,Men,1940,174.9228345,174.4299447,175.4316237,1960,68.86725767716536,68.67320657480315,69.06756838582676
France,FRA,Men,1940,172.3503577,171.548204,173.15152700000002,1960,67.85447153543306,67.53866299212598,68.16989251968505
French Polynesia,PYF,Men,1940,172.22703710000002,170.364403,174.03695369999997,1960,67.80592011811024,67.07259960629922,68.5184857086614
Gabon,GAB,Men,1940,167.71293,164.82103069999997,170.58479599999998,1960,66.0287125984252,64.89016956692912,67.159368503937
Gambia,GMB,Men,1940,165.4343199,163.2811881,167.5847573,1960,65.13162200787401,64.28393232283464,65.97825090551181
Georgia,GEO,Men,1940,172.0649634,170.16593730000002,173.9879431,1960,67.74211157480315,66.99446350393701,68.49919019685039
Germany,DEU,Men,1940,174.51699519999997,174.0113463,175.0317331,1960,68.70747842519684,68.50840405511812,68.91013114173228
Ghana,GHA,Men,1940,166.70014030000002,165.56698280000003,167.8272146,1960,65.629976496063,65.183851496063,66.07370653543306
Greece,GRC,Men,1940,170.0026904,168.5614257,171.4602279,1960,66.93019307086614,66.36276602362204,67.50402673228346
Greenland,GRL,Men,1940,165.22828969999998,163.5288794,166.9363256,1960,65.0505077559055,64.38144858267717,65.72296283464567
Grenada,GRD,Men,1940,172.050603,169.77498559999998,174.4155209,1960,67.73645787401574,66.84054551181102,68.66752791338583
Guatemala,GTM,Men,1940,161.61019130000003,159.37319209999998,163.8360235,1960,63.62605956692914,62.745351220472436,64.50237145669291
Guinea,GIN,Men,1940,168.42857869999997,165.78023269999997,171.0027524,1960,66.3104640551181,65.26780814960628,67.32391826771654
Guinea Bissau,GNB,Men,1940,167.724781,162.7811372,172.5817608,1960,66.0333783464567,64.08706188976377,67.94557511811024
Guyana,GUY,Men,1940,167.3843546,164.97920190000002,169.806842,1960,65.89935220472441,64.9524416929134,66.8530874015748
Haiti,HTI,Men,1940,169.17341130000003,164.21148780000001,174.157938,1960,66.60370523622048,64.6501920472441,68.56611732283464
Honduras,HND,Men,1940,166.04499980000003,163.4046011,168.7253693,1960,65.37204716535435,64.33252011811024,66.4273107480315
Hungary,HUN,Men,1940,172.307042,171.336174,173.3029517,1960,67.83741811023621,67.45518661417323,68.22950854330708
Iceland,ISL,Men,1940,179.0183541,177.8937131,180.0930844,1960,70.47966696850393,70.03689492125984,70.90278913385826
India,IND,Men,1940,163.0002686,162.4242094,163.55304809999998,1960,64.17333409448818,63.946539133858266,64.39096381889763
Indonesia,IDN,Men,1940,159.567479,158.7868532,160.3595041,1960,62.82184212598425,62.51450913385826,63.13366303149606
Iran,IRN,Men,1940,167.05482519999998,166.4782843,167.6423023,1960,65.76961622047243,65.54263161417323,66.00090641732284
Iraq,IRQ,Men,1940,167.31196269999998,162.38455090000002,172.11808190000002,1960,65.8708514566929,63.93092555118111,67.76302437007875
Ireland,IRL,Men,1940,173.2811375,172.3699872,174.18735230000001,1960,68.22092027559054,67.86219968503937,68.57769775590552
Israel,ISR,Men,1940,170.02992849999998,169.1218565,170.91059919999998,1960,66.94091673228345,66.58340807086614,67.28763748031496
Italy,ITA,Men,1940,169.8341861,169.3168051,170.3524957,1960,66.86385279527559,66.66015948818898,67.06791169291338
Jamaica,JAM,Men,1940,170.8418936,169.5762197,172.125714,1960,67.26058803149606,66.76229122047243,67.76602913385827
Japan,JPN,Men,1940,165.23950269999997,164.88420380000002,165.59511519999998,1960,65.05492232283463,64.91504086614174,65.19492724409449
Jordan,JOR,Men,1940,167.7209196,166.5942275,168.83487150000002,1960,66.03185811023621,65.58827854330708,66.4704218503937
Kazakhstan,KAZ,Men,1940,168.5788451,163.4411968,173.6139957,1960,66.36962405511811,64.34692787401575,68.35196681102363
Kenya,KEN,Men,1940,170.5621999,167.8085261,173.27457080000002,1960,67.1504724015748,66.06634885826772,68.21833496062993
Kiribati,KIR,Men,1940,167.6604635,166.38287230000003,168.9411114,1960,66.00805649606299,65.50506783464569,66.51224858267717
Kuwait,KWT,Men,1940,168.4727649,167.3870966,169.6125281,1960,66.32786019685038,65.90043173228347,66.77658586614173
Kyrgyzstan,KGZ,Men,1940,167.0421135,164.7380239,169.281348,1960,65.76461161417323,64.85748972440945,66.64620000000001
Lao PDR,LAO,Men,1940,158.1718744,156.35126440000002,159.9773315,1960,62.272391496062994,61.555615905511814,62.98320137795275
Latvia,LVA,Men,1940,173.8471584,172.1881706,175.49324209999997,1960,68.4437631496063,67.7906183464567,69.09182759842518
Lebanon,LBN,Men,1940,168.91262369999998,167.2341486,170.58228019999999,1960,66.50103295275589,65.84021598425197,67.15837803149606
Lesotho,LSO,Men,1940,164.99846499999998,163.27969299999998,166.7854013,1960,64.96002559055117,64.2833437007874,65.66354381889764
Liberia,LBR,Men,1940,162.68759550000001,160.7643077,164.68035830000002,1960,64.0502344488189,63.29303452755905,64.83478673228348
Libya,LBY,Men,1940,169.33041880000002,167.36965039999998,171.22973169999997,1960,66.66551921259843,65.8935631496063,67.41328019685038
Lithuania,LTU,Men,1940,173.4863871,172.6574938,174.32285969999998,1960,68.30172720472441,67.97539125984252,68.63104712598424
Luxembourg,LUX,Men,1940,174.0169874,172.1937056,175.9172618,1960,68.51062496062993,67.79279748031496,69.25876448818897
Macedonia (TFYR),MKD,Men,1940,172.7233845,167.644824,177.564176,1960,68.00133248031496,66.00189921259843,69.90715590551181
Madagascar,MDG,Men,1940,164.2285769,161.5354728,166.8558894,1960,64.65692003937008,63.59664283464567,65.69129503937008
Malawi,MWI,Men,1940,164.41717119999998,162.5658563,166.2730947,1960,64.73116976377952,64.00230562992127,65.46184830708661
Malaysia,MYS,Men,1940,163.3613655,162.6519048,164.08029119999998,1960,64.31549822834646,64.03618299212599,64.59853984251967
Maldives,MDV,Men,1940,159.97192959999998,158.0001128,161.9340874,1960,62.98107464566928,62.20476881889764,63.75357771653544
Mali,MLI,Men,1940,169.9134414,167.0930175,172.7036437,1960,66.89505566929134,65.78465255905512,67.99356051181101
Malta,MLT,Men,1940,166.12647080000002,164.06222240000002,168.174614,1960,65.40412236220473,64.5914261417323,66.2104779527559
Marshall Islands,MHL,Men,1940,165.28618390000003,163.4173738,167.1265756,1960,65.0733007480315,64.33754874015749,65.79786440944882
Mauritania,MRT,Men,1940,167.1884801,164.42887030000003,169.9832644,1960,65.82223625984251,64.73577570866142,66.92254503937008
Mauritius,MUS,Men,1940,165.34163999999998,164.47268559999998,166.18250580000003,1960,65.09513385826772,64.75302582677165,65.42618338582679
Mexico,MEX,Men,1940,164.37403730000003,163.7456207,164.98110690000001,1960,64.71418791338584,64.4667798031496,64.95319169291339
Micronesia (Federated States of),FSM,Men,1940,167.1096017,165.5832944,168.5956308,1960,65.79118177165354,65.19027338582677,66.3762325984252
Moldova,MDA,Men,1940,169.1201863,167.25187409999998,171.08040459999998,1960,66.58275051181103,65.84719452755904,67.35448999999998
Mongolia,MNG,Men,1940,165.15959630000003,163.8312645,166.49221519999998,1960,65.02346311023624,64.50049783464567,65.54811622047244
Montenegro,MNE,Men,1940,172.6818265,167.6787785,177.69547790000001,1960,67.98497106299213,66.01526712598425,69.95884956692913
Morocco,MAR,Men,1940,167.24489340000002,162.4329959,171.96244040000002,1960,65.84444622047245,63.949998385826774,67.70174818897638
Mozambique,MOZ,Men,1940,164.114878,162.2976397,165.96214740000002,1960,64.61215669291339,63.896708543307085,65.33942811023623
Myanmar,MMR,Men,1940,162.17683190000002,160.8280936,163.5000977,1960,63.84914641732284,63.31814708661417,64.37011720472441
Namibia,NAM,Men,1940,168.6499504,167.09561499999998,170.2950712,1960,66.39761826771654,65.78567519685039,67.04530362204724
Nauru,NRU,Men,1940,166.63067790000002,165.7925749,167.4490744,1960,65.6026290944882,65.27266728346457,65.92483244094488
Nepal,NPL,Men,1940,159.8524518,158.6330247,161.0648977,1960,62.934036141732285,62.45394673228346,63.41137704724409
Netherlands,NLD,Men,1940,177.51211669999998,176.76040519999998,178.2625864,1960,69.88666011811023,69.5907107086614,70.18212062992126
New Zealand,NZL,Men,1940,174.2303759,173.5701007,174.8909791,1960,68.59463618110236,68.33468531496064,68.85471618110236
Nicaragua,NIC,Men,1940,165.1363665,162.41264819999998,167.8371972,1960,65.01431751968504,63.94198748031495,66.07763669291339
Niger,NER,Men,1940,169.3295788,167.4620059,171.2729638,1960,66.665188503937,65.92992358267716,67.43030070866142
Nigeria,NGA,Men,1940,165.760229,164.5858816,166.92798190000002,1960,65.25993267716535,64.79759118110236,65.71967791338584
Niue,NIU,Men,1940,171.18160749999998,169.3648969,172.9786142,1960,67.39433366141732,66.67909326771652,68.10181661417323
North Korea,PRK,Men,1940,165.37366619999997,159.86307380000002,170.89919650000002,1960,65.10774259842519,62.93821803149607,67.28314822834646
Norway,NOR,Men,1940,177.1875559,176.7318192,177.6407364,1960,69.75888027559056,69.57945637795275,69.9372977952756
Occupied Palestinian Territory,PSE,Men,1940,168.828973,167.58483130000002,170.0713107,1960,66.4680996062992,65.97828003937009,66.95720893700788
Oman,OMN,Men,1940,163.2322121,161.4504112,164.9973872,1960,64.26465043307087,63.563154015748026,64.95960125984251
Pakistan,PAK,Men,1940,166.8080646,165.6320614,167.9506599,1960,65.67246637795276,65.20947299212598,66.12230704724409
Palau,PLW,Men,1940,166.6035281,164.6114556,168.5991726,1960,65.5919401968504,64.80765968503937,66.37762700787401
Panama,PAN,Men,1940,164.8719802,162.36511930000003,167.4532738,1960,64.91022842519685,63.92327531496064,65.9264857480315
Papua New Guinea,PNG,Men,1940,161.4301345,159.8068426,163.09336409999997,1960,63.55517106299213,62.91607976377953,64.20998586614172
Paraguay,PRY,Men,1940,168.1371261,162.844666,173.27668630000002,1960,66.19571893700787,64.11207322834645,68.21916783464567
Peru,PER,Men,1940,161.1567241,160.1608717,162.15495019999997,1960,63.44752917322834,63.055461299212595,63.84053157480314
Philippines,PHL,Men,1940,159.98879680000002,157.5386935,162.3753135,1960,62.98771527559056,62.02310767716535,63.92728877952756
Poland,POL,Men,1940,170.9996633,170.3825438,171.606852,1960,67.32270208661417,67.07974165354331,67.56175275590552
Portugal,PRT,Men,1940,165.9349683,165.16200790000002,166.6893232,1960,65.32872767716536,65.02441255905512,65.62571779527559
Puerto Rico,PRI,Men,1940,168.79165590000002,167.5021175,170.1299512,1960,66.45340783464567,65.9457155511811,66.9802957480315
Qatar,QAT,Men,1940,167.5059365,166.0640535,169.0103025,1960,65.94721909448819,65.37954862204724,66.53948917322835
Romania,ROU,Men,1940,170.3771954,167.9667407,172.838868,1960,67.07763598425197,66.12863807086615,68.04679842519684
Russian Federation,RUS,Men,1940,171.13199219999998,170.6357398,171.6273477,1960,67.37480007874015,67.17942511811025,67.56982192913385
Rwanda,RWA,Men,1940,165.7470183,164.15894269999998,167.4005388,1960,65.25473161417322,64.629505,65.90572393700786
Saint Kitts and Nevis,KNA,Men,1940,168.19208419999998,165.45685869999997,171.03041969999998,1960,66.21735598425197,65.14049555118109,67.3348109055118
Saint Lucia,LCA,Men,1940,169.9635102,167.47974530000002,172.535589,1960,66.9147677952756,65.93690759842521,67.92739724409448
Saint Vincent and the Grenadines,VCT,Men,1940,169.26248080000002,164.21026669999998,174.2257889,1960,66.63877196850395,64.64971129921258,68.59283027559054
Samoa,WSM,Men,1940,169.85791319999998,169.030702,170.7103821,1960,66.87319417322834,66.54752047244094,67.2088118503937
Sao Tome and Principe,STP,Men,1940,167.1598176,165.559203,168.76889880000002,1960,65.81095181102361,65.18078858267717,66.4444483464567
Saudi Arabia,SAU,Men,1940,165.75666130000002,164.8740239,166.6637862,1960,65.25852807086615,64.91103303149606,65.61566385826772
Senegal,SEN,Men,1940,171.58085669999997,169.4197649,173.70601330000002,1960,67.55151838582675,66.70069484251968,68.38819421259844
Serbia,SRB,Men,1940,173.75629650000002,172.9016993,174.60355180000002,1960,68.40799074803151,68.07153515748031,68.74155582677166
Seychelles,SYC,Men,1940,170.1152855,169.1455178,171.08593069999998,1960,66.9745218503937,66.59272354330709,67.35666562992125
Sierra Leone,SLE,Men,1940,165.4621832,163.78951990000002,167.1416231,1960,65.14259181102362,64.4840629527559,65.80378862204725
Singapore,SGP,Men,1940,166.2551855,165.46648330000002,167.0669165,1960,65.45479744094489,65.14428476377954,65.77437657480314
Slovakia,SVK,Men,1940,174.28075990000002,173.3724228,175.182161,1960,68.61447240157482,68.25685937007874,68.96935472440946
Slovenia,SVN,Men,1940,173.3654631,169.6429243,177.21017460000002,1960,68.25411933070866,66.78855287401575,69.76778527559055
Solomon Islands,SLB,Men,1940,164.3163044,162.51564399999998,166.09577119999997,1960,64.69145842519686,63.98253700787401,65.3920359055118
Somalia,SOM,Men,1940,166.5564884,161.7506122,171.66479119999997,1960,65.57342062992126,63.68134338582677,67.58456346456691
South Africa,ZAF,Men,1940,167.73001399999998,166.969047,168.4934983,1960,66.03543858267716,65.73584527559055,66.3360229527559
South Korea,KOR,Men,1940,166.4704126,165.9294608,167.0090448,1960,65.53953251968504,65.32655937007874,65.75159244094488
Spain,ESP,Men,1940,168.1445747,167.45317580000003,168.7977641,1960,66.19865145669291,65.92644716535435,66.45581263779528
Sri Lanka,LKA,Men,1940,162.06223219999998,160.3474148,163.762242,1960,63.80402842519684,63.128903464566925,64.47332362204723
Sudan,SDN,Men,1940,166.58752769999998,161.46658380000002,171.5418184,1960,65.58564082677165,63.569521181102374,67.53614897637796
Suriname,SUR,Men,1940,169.26144,164.2238311,174.1897917,1960,66.6383622047244,64.65505161417323,68.5786581496063
Swaziland,SWZ,Men,1940,167.1101131,165.27794169999999,168.95138219999998,1960,65.79138311023623,65.07005578740157,66.51629220472441
Sweden,SWE,Men,1940,177.0194774,176.54464430000002,177.4865037,1960,69.69270763779528,69.50576547244096,69.87657625984251
Switzerland,CHE,Men,1940,173.38211330000001,172.54260109999998,174.1926213,1960,68.26067452755906,67.93015791338583,68.57977216535434
Syrian Arab Republic,SYR,Men,1940,167.310949,162.4164577,172.14268869999998,1960,65.87045236220472,63.94348728346456,67.77271208661416
Taiwan,TWN,Men,1940,165.95756699999998,165.14915969999998,166.74683249999998,1960,65.3376248031496,65.01935421259842,65.6483592519685
Tajikistan,TJK,Men,1940,168.65153899999999,163.4211627,173.7419189,1960,66.39824370078739,64.33904043307086,68.40233027559056
Tanzania,TZA,Men,1940,166.2485531,164.8966314,167.6374755,1960,65.45218625984252,64.91993362204724,65.9990061023622
Thailand,THA,Men,1940,162.6885437,161.9426426,163.4259252,1960,64.0506077559055,63.75694590551181,64.34091543307086
Timor-Leste,TLS,Men,1940,158.9446542,157.2678458,160.6852718,1960,62.57663551181103,61.91647472440945,63.261918031496066
Togo,TGO,Men,1940,167.316768,165.36144480000002,169.3181376,1960,65.87274330708661,65.10293102362205,66.66068409448819
Tokelau,TKL,Men,1940,170.40267619999997,168.4446475,172.3309381,1960,67.08766779527558,66.3167903543307,67.84682602362204
Tonga,TON,Men,1940,173.9221025,172.4798725,175.351046,1960,68.4732687007874,67.90546161417323,69.03584488188976
Trinidad and Tobago,TTO,Men,1940,171.3266626,169.6350811,173.003794,1960,67.45144196850393,66.785465,68.11172992125984
Tunisia,TUN,Men,1940,168.82717140000003,167.7749677,169.8943755,1960,66.46739031496064,66.05313688976378,66.88754940944882
Turkey,TUR,Men,1940,168.6316272,168.0215845,169.23094019999996,1960,66.39040440944882,66.15023011811023,66.62635440944881
Turkmenistan,TKM,Men,1940,169.07123269999997,166.8643356,171.3377498,1960,66.56347744094487,65.69462031496063,67.45580700787401
Tuvalu,TUV,Men,1940,167.72377450000002,165.27637719999998,170.1564962,1960,66.03298208661418,65.06943984251969,66.99074653543306
Uganda,UGA,Men,1940,168.1205156,166.5331423,169.7227062,1960,66.18917937007875,65.56422925196851,66.81996307086614
Ukraine,UKR,Men,1940,172.4896053,167.4000504,177.63109369999998,1960,67.90929342519685,65.9055316535433,69.93350145669291
United Arab Emirates,ARE,Men,1940,167.3260318,162.3499606,172.2374595,1960,65.87639047244095,63.917307322834645,67.81002342519685
United Kingdom,GBR,Men,1940,174.10910959999998,173.7050615,174.51890490000002,1960,68.54689354330708,68.38781948818898,68.70823027559057
United States of America,USA,Men,1940,176.4034355,175.9116858,176.897505,1960,69.45017145669291,69.25656921259842,69.64468700787401
Uruguay,URY,Men,1940,170.18927649999998,168.72713259999998,171.6531281,1960,67.00365216535432,66.4280049606299,67.57997169291339
Uzbekistan,UZB,Men,1940,168.8765506,167.2169834,170.4496159,1960,66.48683094488189,65.83345803149606,67.10614799212598
Vanuatu,VUT,Men,1940,165.93269640000003,164.1807143,167.7289838,1960,65.32783322834646,64.638076496063,66.03503299212599
Venezuela,VEN,Men,1940,166.7733332,165.2053669,168.4183511,1960,65.6587925984252,65.04148303149606,66.30643744094488
Viet Nam,VNM,Men,1940,160.798454,160.1449188,161.4574868,1960,63.3064779527559,63.04918062992126,63.56593968503937
Yemen,YEM,Men,1940,162.9089302,161.17995200000001,164.6971515,1960,64.13737409448818,63.456674015748035,64.84139822834645
Zambia,ZMB,Men,1940,167.6879186,164.9448227,170.4670505,1960,66.01886559055117,64.93890657480316,67.11301200787402
Zimbabwe,ZWE,Men,1940,168.9140144,167.1038596,170.72617140000003,1960,66.50158047244095,65.7889211023622,67.21502811023623
Afghanistan,AFG,Women,1940,154.88444950000002,152.4531597,157.2692383,1960,60.978129724409456,60.020929015748024,61.91702295275591
Albania,ALB,Women,1940,158.8048655,156.59086409999998,161.01070159999998,1960,62.52160059055118,61.64994649606298,63.39003999999999
Algeria,DZA,Women,1940,157.63398130000002,156.289326,158.93450430000001,1960,62.060622559055126,61.53123070866141,62.57263948818898
American Samoa,ASM,Women,1940,161.4043822,160.5282544,162.2944239,1960,63.545032362204715,63.200100157480314,63.89544248031496
Andorra,AND,Women,1940,158.0597407,153.2154751,162.84753369999999,1960,62.228244370078734,60.32105318897637,64.11320224409448
Angola,AGO,Women,1940,157.4983366,152.5726784,162.5029619,1960,62.007219133858264,60.067983622047244,63.97754405511811
Antigua and Barbuda,ATG,Women,1940,158.4592065,153.8865037,163.02058080000003,1960,62.38551437007874,60.58523767716535,64.18133102362206
Argentina,ARG,Women,1940,157.1184882,155.8338519,158.43323869999998,1960,61.85767251968504,61.3519101968504,62.375290826771646
Armenia,ARM,Women,1940,156.0782038,154.41677090000002,157.7457035,1960,61.448111732283465,60.79400429133859,62.10460767716535
Australia,AUS,Women,1940,162.2003753,161.6648237,162.7400593,1960,63.85841547244094,63.64756838582677,64.07088948818898
Austria,AUT,Women,1940,163.06629909999998,161.5116971,164.62066000000002,1960,64.1993303543307,63.58728232283464,64.81128346456694
Azerbaijan,AZE,Women,1940,156.5406461,154.72352759999998,158.2822794,1960,61.63017562992126,60.91477464566928,62.315858031496056
Bahamas,BHS,Women,1940,158.4303362,153.80860769999998,163.0930968,1960,62.37414811023622,60.55456996062991,64.20988062992126
Bahrain,BHR,Women,1940,155.2669073,153.62120969999998,156.8826096,1960,61.128703661417326,60.48079122047243,61.764806929133854
Bangladesh,BGD,Women,1940,149.0364625,148.24833030000002,149.86963830000002,1960,58.675772637795276,58.36548437007875,59.003794606299216
Barbados,BRB,Women,1940,160.20058590000002,158.73039980000001,161.738566,1960,63.07109681102363,62.492283385826774,63.67660078740157
Belarus,BLR,Women,1940,161.34379380000001,156.426682,166.1601212,1960,63.52117866141733,61.58530787401575,65.4173705511811
