Olympic Year,Mean height (inches)
1960,66.2690486748032
1964,66.47760759212599
1968,66.69285623917324
1972,66.8969466448819
1976,67.07981568051181
1980,67.24754736496061
1984,67.3847414836614
1988,67.48332299704728
1992,67.56688478228344
1996,67.6268781688976
2000,67.64004347657482
2004,67.61555692500004
2008,67.55667624015749
2012,67.48626853228349
